Column,Missing_Values
details,30905
details_JobPositionPosting_HiringOrg,30905
details_JobPositionPosting_RecruitingCompany_PhoneNumber,30905
details_JobPositionPosting_RecruitingCompany_Address,30905
details_JobPositionPosting_RecruitingCompany_Address_Municipality_Name,30905
summary_PostalCodeName,30905
details_BackToFindWorkButtonUrl,30905
details_JobLogTemplateModel_ServerValidationErrors,30905
details_JobPositionPosting_RecruitingCompany,30905
details_JobPositionPosting_HiringOrg_FaxNumber,30905
details_JobPositionPosting_JobPositionInformation_CompensationDescription,30905
details_FavoriteText,30905
details_JobLogTemplateModel_SubmissionDateFormatted,30905
details_JobLogTemplateModel_Company_Longitude,30905
details_JobLogTemplateModel_Company_Latitude,30905
details_JobLogTemplateModel_SubmissionDeadlineDate,30905
details_JobLogTemplateModel_CvFile,30905
details_JobLogTemplateModel_TypeOfSubmission,30905
details_JobLogTemplateModel_Company_DistanceToCompanyInMeters,30905
details_JobLogTemplateModel_Company_DailyTravelTimeInMinutes,30905
details_JobLogTemplateModel_JobApplicationFile,30905
details_JobLogTemplateModel_JobApplicationDocument_Title,30905
details_JobLogTemplateModel_DateClosed,30905
details_JobPositionPosting_RecruitingCompany_Email,30905
details_JobPositionPosting_RecruitingCompany_Logo,30905
details_JobPositionPosting_RecruitingCompany_Description,30905
details_JobPositionPosting_RecruitingCompany_OrganizationDescription,30905
details_JobPositionPosting_RecruitingCompany_Address_Region,30905
summary_Location,30905
details_JobLogTemplateModel_CvDocument_Title,30905
details_JobLogTemplateModel_JobApplicationDocument_Identifier,30905
details_JobLogTemplateModel_DateModified,30905
details_JobLogTemplateModel_ApplicationSource,30905
details_JobLogTemplateModel_HoursPerWeek,30905
details_JobLogTemplateModel_CvCustomerIdentifier,30905
details_JobLogTemplateModel_JobSeekingStatus,30905
details_JobPositionPosting_JobPositionInformation_WeeklyWorkHours_Description,30905
details_JobLogTemplateModel_Company_Country,30905
details_JobLogTemplateModel_Company_EmploymentAreaID,30905
details_JobLogTemplateModel_JobAdDocument_Identifier,30905
details_JobLogTemplateModel_DateCreatedFormatted,30905
details_JobLogTemplateModel_JobAdDocument_Title,30905
details_JobLogTemplateModel_DateCreated,30905
details_JobLogTemplateModel_JobAdFile,30905
details_JobLogTemplateModel_DateModifiedFormatted,30905
details_JobLogTemplateModel_CvDocument_Identifier,30905
details_JobPositionPosting_ContactAuthorityPhoneNumber_Number,30893
details_JobPositionPosting_ApplicationDetails_RemarksToApplicant,30893
details_WorkPlace_FaxNumber,30889
details_JobPositionPosting_RecruitingCompany_WebAddress,30623
details_JobPositionPosting_RecruitingCompany_Address_Region_Name,30562
details_JobPositionPosting_RecruitingCompany_Address_Country_Name,30551
details_JobPositionPosting_RecruitingCompany_WorkPlaceOrganizationNumber,30551
details_JobPositionPosting_RecruitingCompany_FaxNumber,30355
details_JobPositionPosting_RecruitingCompany_OrganizationNumber,30249
details_JobPositionPosting_RecruitingCompany_Address_Region_Id,29906
details_JobPositionPosting_RecruitingCompany_Address_PostalCode,29895
details_JobPositionPosting_RecruitingCompany_Address_City,29895
details_JobPositionPosting_RecruitingCompany_PhoneNumber_Description,29895
details_JobPositionPosting_RecruitingCompany_PhoneNumber_Number,29895
details_JobPositionPosting_RecruitingCompany_PhoneNumber_Type,29895
details_JobPositionPosting_RecruitingCompany_Address_Municipality_Id,29895
details_JobPositionPosting_RecruitingCompany_Address_Country_Id,29895
details_JobPositionPosting_RecruitingCompany_Address_AddressLine,29895
details_JobCenterContactDetails,29730
details_JobPositionPosting_RecruitingCompany_Name,29730
details_JobPositionPosting_ApplicationDetails_ReferenceText,28470
details_JobPositionPosting_HiringOrg_Description,27744
details_WorkPlace_Description,27744
details_JobPositionPosting_ApplicationDetails_ByPhone,27321
details_WorkPlace_OrganizationDescription,27203
details_JobPositionPosting_HiringOrg_OrganizationDescription,27203
details_WorkPlaceDescriptionText,26296
details_WorkPlace_Email,25957
details_JobPositionPosting_HiringOrg_Email,25952
details_JobPositionPosting_HiringOrg_PhoneNumber_Number,25872
details_WorkPlace_PhoneNumber_Number,25846
details_JoblogWorkTime_WorkHour,25745
details_JobPositionPosting_ApplicationDetails_WorkHourMin,25745
details_JobPositionPosting_ApplicationDetails_WorkHourMax,25745
summary_JoblogWorkTime_WorkHour,25728
details_JobPositionPosting_JobPositionInformation_DriverLicense,25513
details_JobPositionPosting_JobPositionInformation_EmploymentDate,21868
details_JobPositionPosting_ApplicationDetails_ByEmail,21355
details_JobPositionPosting_JobPositionInformation_Occupation_AlternateNames,21117
details_JobPositionPosting_HiringOrg_Logo,20472
details_WorkPlace_Logo,20472
details_JobPositionPosting_HiringOrg_WebAddress,20413
details_WorkPlace_WebAddress,20408
details_JobPositionPosting_ApplicationDetails_DailyWorkTimeVarious,18365
summary_JobAnnouncementType,18365
summary_EmploymentType,18365
details_JobPositionPosting_ApplicationDetails_DailyWorkTimeMorning,18365
details_JobPositionPosting_JobPositionInformation_Occupation_Name,18365
details_JoblogWorkTime_DailyWorkTime,17551
summary_JoblogWorkTime_DailyWorkTime,17527
details_JobLogTemplateModel_Company_Email,13838
details_JobPositionPosting_JobPositionInformation_Occupation_Id,12591
details_JobPositionPosting_OriginalJppId,12591
details_JobPositionPosting_ContactAuthorityPhoneNumber_Description,12591
details_JobPositionPosting_ContactAuthorityPhoneNumber_Type,12591
summary_OrganisationId,12021
details_JobPositionPosting_ApplicationDetails_ApplyViaUrl,8547
details_JobPositionPosting_JobPositionInformation_WorkLocation_AddressLine,4654
details_JobLogTemplateModel_Company_Phone,4520
summary_WorkPlaceAddress,3607
details_JobPositionPosting_JobPositionInformation_WorkLocation_City,2673
details_JobLogTemplateModel_Company_ContactPerson,2379
details_JobPositionPosting_JobPositionInformation_JppContacts,2352
details_JobPositionPosting_HiringOrg_Address_City,1834
details_JobLogTemplateModel_Company_Town,1812
details_WorkPlace_Address_City,1812
details_JobPositionPosting_JobPositionInformation_WorkLocation_Municipality_Name,1509
details_JobPositionPosting_JobPositionInformation_WorkLocation_PostalCode,1503
summary_Region,1465
summary_Municipality,1465
summary_WorkPlaceCity,1461
summary_WorkPlacePostalCode,1451
details_JobPositionPosting_HiringOrg_Address_AddressLine,1059
details_JobLogTemplateModel_Company_Address,1037
details_WorkPlace_Address_AddressLine,1037
summary_Location_Longitude,921
summary_Location_Latitude,921
summary_PostalCode,845
details_WorkPlace_Address_Municipality_Name,674
details_JobPositionPosting_HiringOrg_Address_Region_Name,669
details_WorkPlace_Address_Region_Name,669
details_JobPositionPosting_HiringOrg_Address_Municipality_Name,669
details_JobPositionPosting_HiringOrg_Address_PostalCode,665
details_JobPositionPosting_JobPositionInformation_WorkLocation_Region_Name,645
details_JobLogTemplateModel_Company_PostCode,643
details_WorkPlace_Address_PostalCode,643
details_LogoUrl,194
details_JobPositionPosting_HiringOrg_OrganizationNumber,191
details_JobPositionPosting_HiringOrg_WorkPlaceOrganizationNumber,191
details_WorkPlace_WorkPlaceOrganizationNumber,186
details_WorkPlace_OrganizationNumber,169
details_OrganizationNumber,169
details_JobPositionPosting_HiringOrg_Address_Country_Id,73
details_JobPositionPosting_HiringOrg_PhoneNumber_Description,73
details_JobPositionPosting_HiringOrg_PhoneNumber_Type,73
details_JobPositionPosting_HiringOrg_Address_Region_Id,73
details_JobPositionPosting_HiringOrg_Address_Country_Name,73
details_JobPositionPosting_HiringOrg_Address_Municipality_Id,73
details_WorkPlace_Address_Country_Name,73
details_JobPositionPosting_HiringOrg_Name,73
details_WorkPlace_Address_Region_Id,51
details_WorkPlaceInfoText,51
details_WorkPlace_PhoneNumber_Description,51
details_IsFavorite,51
details_ShowFavorite,51
details_WorkConditions,51
details_EmploymentTypes,51
details_WorkSchedule,51
details_FormattedPurpose,51
details_ShowPrint,51
details_ShowSearchJobButton,51
details_MapUrl,51
details_WorkPlace_Name,51
details_TitleForSharing,51
details_DescriptionForSharing,51
details_RutePlan,51
details_WorkPlace_PhoneNumber_Type,51
details_WorkPlace_Address_Country_Id,51
details_WorkPlace_Address_Municipality_Id,51
details_JobPositionPosting_JobPositionInformation_NumberToFill,51
details_JobPositionPosting_PublicationStartDate,51
details_JobPositionPosting_JobPositionInformation_PositionTitle,51
details_JobPositionPosting_PublicationEndDate,51
details_JobPositionPosting_Id,51
details_JobPositionPosting_JobPositionInformation_Purpose,51
details_OpenPrintDialog,51
details_MetaOgTextForSharing,51
details_Place,51
details_JobLogTemplateModel_HasServerValidationErrors,51
details_JobLogTemplateModel_Company_IsTownAndPostCodeEmpty,51
details_ShowMap,51
details_JobLogUrl,51
details_JobLogTemplateModel_Company_IsCountryDanmark,51
details_Address,51
details_JobLogTemplateModel_WeeklyWorkTime,51
details_JobPositionPosting_ApplicationDetails_DailyWorkTimeDay,51
details_JobPositionPosting_ApplicationDetails_DailyWorkTimeEvening,51
details_JobPositionPosting_ApplicationDetails_ReplyInWriting,51
details_JobPositionPosting_ApplicationDetails_ApplicationDeadlineDate,51
details_JobPositionPosting_JobPositionInformation_EmploymentType,51
details_JobPositionPosting_JobPositionInformation_WeeklyWorkHours_TypeId,51
details_JobPositionPosting_JobPositionInformation_WeeklyWorkHours_TypeName,51
details_JobPositionPosting_IsDisabilityFriendly,51
details_JobPositionPosting_JobPositionInformation_IsGovernmentHiring,51
details_JobPositionPosting_IsAnonymousEmployer,51
details_JobPositionPosting_IsWorkInDenmark,51
details_JobPositionPosting_IsRecruitmentOfForeignNationals,51
details_JobPositionPosting_JobPositionInformation_Occupation_GroupId,51
details_JobPositionPosting_JobPositionInformation_Occupation_AreaId,51
details_JobPositionPosting_JobPositionInformation_Occupation_DiscoWeb,51
details_JobPositionPosting_Status,51
details_JobPositionPosting_JobPositionInformation_WorkLocation_Region_Id,51
details_JobPositionPosting_JobPositionInformation_WorkLocation_Country_Name,51
details_JobPositionPosting_JobPositionInformation_WorkLocation_Municipality_Id,51
details_JobPositionPosting_JppType,51
details_JobPositionPosting_JobPositionInformation_WorkLocation_Country_Id,51
details_ShowShareButtonJobLog,51
details_JobLogTemplateModel_Identifier,51
details_JobLogTemplateModel_UseWorkPlaceAddressForJoblog,51
details_JobLogTemplateModel_IsWeeklyWorkTimeRequired,51
details_JobLogTemplateModel_Category,51
details_JobLogTemplateModel_IsApplicationSourceRequired,51
details_JobLogTemplateModel_Title,51
details_JobPositionPosting_ApplicationDetails_DailyWorkTimeNight,51
details_JobPositionPosting_ApplicationDetails_DailyWorkTimeWeekend,51
details_JobLogTemplateModel_JobnetJobPostingIdentifier,51
details_JobLogTemplateModel_Company_IsCountryAndTownAndPostCodeEmpty,51
details_JobLogTemplateModel_IsPersisted,51
details_JobLogTemplateModel_SubmissionDateTiks,51
details_JobLogTemplateModel_IsSubmissionDateRequired,51
details_JobLogTemplateModel_Company_IsCreateMode,51
details_JobLogTemplateModel_SubmissionDate,51
details_JobLogTemplateModel_JobAdDocument_IsDeletedByUser,51
details_JobLogTemplateModel_JobAdDocument_IsDeletedBySystem,51
details_JobLogTemplateModel_Status,51
details_JobLogTemplateModel_Company_JobLogEntryCategory,51
details_JobLogTemplateModel_Company_ShowAddressFieldsEvenIfEmpty,51
details_JobLogTemplateModel_Company_Name,51
details_JobLogTemplateModel_LastModifiedDateTiks,51
details_JobLogTemplateModel_CvDocument_IsDeletedBySystem,51
details_JobLogTemplateModel_CvDocument_IsDeletedByUser,51
details_JobLogTemplateModel_JobApplicationDocument_IsDeletedByUser,51
details_JobLogTemplateModel_JobApplicationDocument_IsDeletedBySystem,51
summary_Presentation,38
summary_JobHeadline,0
summary_HiringOrgName,0
summary_WorkPlaceOtherAddress,0
summary_WorkPlaceAbroad,0
summary_WorkPlaceNotStatic,0
summary_UseWorkPlaceAddressForJoblog,0
summary_PostingCreated,0
summary_LastDateApplication,0
summary_FormattedLastDateApplication,0
summary_AssignmentStartDate,0
summary_IsHotjob,0
summary_IsExternal,0
summary_WorkplaceID,0
summary_HiringOrgCVR,0
summary_UserLoggedIn,0
summary_AnonymousEmployer,0
summary_ShareUrl,0
summary_DetailsUrl,0
summary_JobLogUrl,0
summary_HasLocationValues,0
summary_ID,0
summary_Latitude,0
summary_Longitude,0
summary_Url,0
summary_Country,0
summary_WorkHours,0
summary_OccupationArea,0
summary_OccupationGroup,0
summary_Occupation,0
isExternal,0
summary_Title,0
summary_Weight,0
summary_Abroad,0
summary_AutomatchType,0
